condition;count;mean;median;p25;p75
1;376;0.9990892611663688;0.9956210261737473;0.9675379857688623;1.0312049351356514
2;1248;0.9975039008920115;1.0005300586622494;0.9653865710878957;1.031916477235106
3;5160;0.998094789116862;1.0003652863493517;0.967903791121762;1.0303842843166575
4;1390;0.9888736756379483;0.992740802403412;0.9529448215067282;1.0275997933640928
5;265;1.0006707492604123;0.994054563000538;0.9566178028101656;1.047403430395758
6;698;1.063653063218921;1.0694535332555688;1.0334220777019607;1.1056831424186213
