property_id;scenario;feature;feature_value;shap_value;effect
ID33;current;cat__county_Fejér vármegye;;0.011455500824730508;increase
ID34;current;cat__county_Fejér vármegye;;0.03158655832544438;increase
ID34;current;building_area_m2;88.0;0.030672679759136023;increase
ID34;current;cat__settlement_type_Város;;0.023216176442618704;increase
ID35;current;building_area_m2;50.0;0.13098023909542048;increase
ID35;current;cat__settlement_type_Város;;0.02462512515010349;increase
ID35;current;cat__settlement_type_Község;;0.02301371886357617;increase
ID36;current;cat__county_Fejér vármegye;;-0.016863693957763774;decrease
ID36;current;building_area_m2;93.0;-0.011423055382903138;decrease
ID36;current;cat__county_Békés vármegye;;0.006357071691825592;increase
ID37;current;cat__county_Fejér vármegye;;-0.06532684187721832;decrease
ID37;current;condition;2;-0.04566662931730819;decrease
ID37;current;building_area_m2;39.0;-0.037127018852666345;decrease
ID38;current;cat__county_Fejér vármegye;;-0.0514695829367914;decrease
ID38;current;building_area_m2;39.0;-0.013106048733613622;decrease
ID38;current;cat__settlement_type_Város;;-0.009167366987298092;decrease
ID39;current;condition;4;0.06875981352230524;increase
ID39;current;cat__county_Fejér vármegye;;-0.03011916325281218;decrease
ID39;current;cat__settlement_type_Község;;0.01872112074194193;increase
ID40;current;cat__county_Fejér vármegye;;0.07086907637355512;increase
ID40;current;building_area_m2;64.0;0.051179862593796255;increase
ID40;current;condition;3;0.010322115670934492;increase
ID41;current;cat__county_Fejér vármegye;;0.06471976085493791;increase
ID41;current;building_area_m2;120.0;-0.01991314013098802;decrease
ID41;current;cat__settlement_type_Város;;0.01685506985002145;increase
ID42;current;building_area_m2;63.0;0.05206680672165566;increase
ID42;current;cat__county_Fejér vármegye;;0.026802378904987195;increase
ID42;current;condition;2;-0.02257712432080427;decrease
ID43;current;building_area_m2;101.0;-0.1086153824876719;decrease
ID43;current;cat__county_Fejér vármegye;;-0.03566034049663054;decrease
ID43;current;condition;3;-0.0302990019516235;decrease
ID44;current;cat__settlement_type_Város;;-0.028575810607668808;decrease
ID44;current;building_area_m2;56.0;-0.02636034728644447;decrease
ID44;current;cat__settlement_type_Község;;-0.01928592576421916;decrease
ID45;current;building_area_m2;99.0;0.04704153781226392;increase
ID45;current;cat__county_Fejér vármegye;;0.016971648975644106;increase
ID45;current;cat__settlement_type_Város;;0.01004473405043037;increase
ID46;current;cat__county_Fejér vármegye;;0.07086907637355512;increase
ID46;current;building_area_m2;64.0;0.051179862593796255;increase
ID46;current;condition;3;0.010322115670934492;increase
ID47;current;cat__county_Fejér vármegye;;0.03051147350674666;increase
ID47;current;condition;2;0.021802203578379087;increase
ID47;current;cat__settlement_type_Város;;0.015516295773211954;increase
ID48;current;building_area_m2;59.0;0.05878059022345644;increase
ID48;current;cat__county_Fejér vármegye;;0.010271267020582087;increase
ID48;current;cat__settlement_type_Község;;-0.009537972053559102;decrease
ID49;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID49;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID49;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID50;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID50;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID50;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID51;current;building_area_m2;52.0;-0.02548353697408604;decrease
ID51;current;cat__settlement_type_Nagyközség;;-0.01491850024077687;decrease
ID51;current;cat__county_Borsod-Abaúj-Zemplén vármegye;;0.012070006400494791;increase
ID52;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID52;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID52;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID53;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID53;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID53;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
