condition;count;mean;median;p25;p75
1;376;0.49772315291592173;0.489052565434368;0.4188449644221556;0.5780123378391282
2;1248;0.49375975223002844;0.5013251466556232;0.4134664277197391;0.5797911930877648
3;5160;0.49523697279215506;0.5009132158733793;0.4197594778044046;0.5759607107916433
4;1390;0.4721841890948703;0.48185200600852973;0.3823620537668204;0.5689994834102325
5;265;0.5016768731510304;0.4851364075013449;0.3915445070254138;0.6185085759893949
6;698;0.6591326580473023;0.6736338331389216;0.5835551942549019;0.7642078560465535
