property_type;scenario;source_median_score;target_median_score;median_score_delta
Lakás;2->5;0.21527272986403725;0.4785835869770576;0.2633108571130204
Lakás;3->5;0.2789582333412432;0.4785835869770576;0.1996253536358144
Lakás;4->5;0.2918581723470062;0.4785835869770576;0.18672541463005143
Lakóház;2->5;0.5047928544443194;0.4894432729322386;-0.015349581512080823
Lakóház;3->5;0.5063559417013587;0.4894432729322386;-0.016912668769120065
Lakóház;4->5;0.5005916662343577;0.4894432729322386;-0.011148393302119086
