property_type;count;min;p01;p05;p25;median;p75;p95;p99;max
Lakás;1343;0.0608989939934878;0.07840187225290397;0.13129814633760967;0.29257314968505;0.5395247773906309;0.6869831680110078;0.8688039263973637;0.9223547089811636;0.9526017169744972
Lakóház;7794;0.130302260168255;0.2593938275393047;0.3194421346518397;0.4267940355359436;0.5048963091347196;0.5798411967816394;0.6904545218995981;0.7689897001484015;0.8778605836224249
