property_id;property_type;county;settlement_type;city;building_area_m2;land_area_m2;scenario;source_condition;target_condition;current_score;target_score;score_delta;current_factor;target_factor;factor_delta;current_value;target_value;value_delta;value_delta_pct;ksh_baseline;ksh_source_level
ID153;Lakóház;Somogy;község;Darány;81.0;1730.224983709169;2->5;2;5;0.38066;0.410214;0.029554000000000025;0.952264;0.964085;0.01182099999999997;23949915.0;24247231.0;297316.0;0.012414073285855086;25150500.0;county_settlement
ID154;Lakóház;Szabolcs-Szatmár-Bereg;község;Szabolcsbáka;53.0;859.7509949309095;2->5;2;5;0.686191;0.484514;-0.201677;1.074477;0.993806;-0.08067099999999994;8996585.0;8321129.0;-675456.0;-0.07507915503493826;8372993.0;county_settlement
ID165;Lakóház;Békés;község;Kisdombegyház;67.37386885962954;2245.597974026809;2->5;2;5;0.460471;0.459745;-0.0007260000000000044;0.984189;0.983898;-0.0002909999999999302;8191299.0;8188880.0;-2419.0;-0.00029531335628207444;8322896.0;county_settlement
ID179;Lakóház;Jász-Nagykun-Szolnok;község;Tiszapüspöki;64.0;297.95835789463507;2->5;2;5;0.768429;0.648431;-0.11999800000000005;1.107372;1.059372;-0.04800000000000004;10985127.0;10508973.0;-476154.0;-0.04334533410492204;9920000.0;city
ID181;Lakóház;Somogy;község;Mesztegnyő;99.0;1410.2067711797274;2->5;2;5;0.520015;0.476107;-0.043908;1.008006;0.990443;-0.017562999999999995;30985604.0;30445719.0;-539885.0;-0.017423736519707668;30739500.0;county_settlement
ID186;Lakóház;Heves;város;Gyöngyös;91.0;1143.4933754640203;2->5;2;5;0.52972;0.427612;-0.10210799999999998;1.011888;0.971045;-0.04084299999999985;30479076.0;29248839.0;-1230237.0;-0.040363329911969774;30121000.0;city
ID193;Lakóház;Jász-Nagykun-Szolnok;város;Rákóczifalva;46.0;1082.402804742439;2->5;2;5;0.539742;0.440384;-0.09935800000000006;1.015897;0.976154;-0.039743000000000084;14346494.0;13785241.0;-561253.0;-0.03912126544645681;14122000.0;city
ID212;Lakóház;Heves;község;Halmajugra;104.0;1557.2053271509396;2->5;2;5;0.638929;0.553059;-0.08587;1.055571;1.021224;-0.03434700000000013;8233457.0;7965545.0;-267912.0;-0.03253943027819299;7800000.0;city
ID213;Lakóház;Borsod-Abaúj-Zemplén;község;Bodrogolaszi;130.56991929763598;5683.977922697159;2->5;2;5;0.393163;0.333208;-0.05995499999999998;0.957265;0.933283;-0.02398200000000006;25747952.0;25102894.0;-645058.0;-0.025052788664512035;26897403.0;city
ID216;Lakóház;Heves;község;Abasár;140.0;3848.3887442039;2->5;2;5;0.397708;0.420303;0.022594999999999976;0.959083;0.968121;0.00903799999999999;30211123.0;30495823.0;284700.0;0.009423681469901003;31500000.0;city
ID218;Lakóház;Békés;város;Elek;70.0;865.9241617420214;2->5;2;5;0.571158;0.586528;0.015369999999999995;1.028463;1.034611;0.006148000000000042;10438900.0;10501305.0;62405.0;0.005978120300031612;10150000.0;city
ID225;Lakóház;Bács-Kiskun;város;Kunszentmiklós;66.14610541530394;2190.994507273178;2->5;2;5;0.59546;0.590609;-0.004850999999999939;1.038184;1.036244;-0.0019400000000000528;19914833.0;19877611.0;-37222.0;-0.0018690591078519211;19182371.0;city
ID231;Lakóház;Hajdú-Bihar;város;Püspökladány;66.0;857.6261003986579;2->5;2;5;0.500494;0.451493;-0.04900100000000002;1.000198;0.980597;-0.01960099999999987;14060777.0;13785234.0;-275543.0;-0.019596569947734753;14058000.0;city
