property_type;count;min;p01;p05;p25;median;p75;p95;p99;max
Lakás;1343;0.12023595170532811;0.154792765982563;0.2592285446248273;0.5776419081663177;1.0652109472465943;1.3563454762516707;1.7153233589849348;1.8210513667286556;1.880769558341247
Lakóház;7794;0.2572623163916427;0.5121343010035793;0.6306906987454128;0.8426409646489276;0.9968422179159839;1.1448096850409728;1.3631991451077652;1.5182551038334908;1.7332043735849563
