scenario;median_score_delta;current_band_factor_delta;current_band_value_pct;wide_060_140_factor_delta;wide_060_140_value_pct;narrow_080_120_factor_delta
2->5;0.0010930000000000106;0.00043799999999993844;0.0004378760810689959;0.0008744000000000086;0.0008741526148100174;0.0004372000000000043
3->5;0.0022230000000000028;0.0008885000000000698;0.0008880985794421618;0.0017784000000000022;0.0017775965263700827;0.0008892000000000011
4->5;0.001909999999999995;0.000763500000000028;0.0007691226712884825;0.0015279999999999962;0.0015392527069138901;0.0007639999999999981
