Munkamenet;Ár Ft/nm (2023);Ár Ft/nm (2024)
Vízhálózat cseréje;2618,715084;2773,219274
Gépészeti szerelvények (fütési rendszer, szaniterek);5237,430168;5546,438547
Szárazépítés;2663,825253;2820,990943
Burkolás;5327,650506;5641,981886
Fa-és műanyag nyílászárók (külső-belső);12431,18451;13164,6244
Bejárati ajtók;8435,446635;8933,137986
Felületképzés;4439,708755;4701,651572
Konyhabútor, beépített szekrény;8879,41751;9403,303143
Elektromosság;8879,41751;9403,303143
Épületautomatika (csengő, kaputelefon;1420,706802;1504,528503
Vízhálózat cseréje;2663,825253;2820,990943
Gépészeti szerelvények (fütési rendszer, szaniterek);5327,650506;5641,981886
Szárazépítés;3302,073702;3496,896051
Burkolás;3962,488443;4196,275261
Fa-és műanyag nyílászárók (külső-belső);11887,46533;12588,82578
Bejárati ajtók;6273,940034;6644,102496
Felületképzés;7264,562145;7693,171312
Konyhabútor, beépített szekrény;9245,806366;9791,308942
Elektromosság;7924,976885;8392,550522
Épületautomatika (csengő, kaputelefon;1056,663585;1119,006736
Vízhálózat cseréje;1981,244221;2098,13763
Gépészeti szerelvények (fütési rendszer, szaniterek);3962,488443;4196,275261
Szárazépítés;2605,976372;2759,728978
Burkolás;5211,952745;5519,457957
Fa-és műanyag nyílászárók (külső-belső);12161,22307;12878,73523
Bejárati ajtók;8252,258513;8739,141765
Felületképzés;4343,293954;4599,548297
Konyhabútor, beépített szekrény;8686,587908;9199,096595
Elektromosság;8686,587908;9199,096595
Épületautomatika (csengő, kaputelefon;1389,854065;1471,855455
Vízhálózat cseréje;2605,976372;2759,728978
Gépészeti szerelvények (fütési rendszer, szaniterek);5211,952745;5519,457957
Szárazépítés;1598,504607;1692,816379
Burkolás;11644,35418;12331,37108
Fa-és műanyag nyílászárók (külső-belső);17356,24442;18380,26284
Bejárati ajtók;4635,312981;4908,796446
Felületképzés;6171,043188;6535,134736
Konyhabútor, beépített szekrény;8822,168718;9342,676672
Elektromosság;12039,40056;12749,7252
Épületautomatika (csengő, kaputelefon;1829,571792;1937,516528
Vízhálózat cseréje;3785,639701;4008,992444
Gépészeti szerelvények (fütési rendszer, szaniterek);8636,974097;9146,555568
